Tiempo,EMG_mV_raw,EMG_mV_filtrado
60.013,-0.04471475470763132,1.3686997790291134e-06
60.014,-0.05749039890981169,1.3304263179138842e-06
60.015,-0.05110257680872151,1.2916050951534167e-06
60.016,-0.03193911050545094,1.2526463253868845e-06
60.017,-0.01596955525272547,1.2132161143631403e-06
60.018,-0.009581733151635281,1.1738257273698691e-06
60.019,0.0031939110505450944,1.13595171169655e-06
60.02,0.01596955525272547,1.0985843179560608e-06
60.021,0.009581733151635281,1.0614534324066823e-06
60.022,0.02235737735381566,1.0243597380437733e-06
60.023,0.025551288404360755,9.863628954883896e-07
60.024,0.025551288404360755,9.480305906932413e-07
60.025,0.0031939110505450944,9.094299896200441e-07
60.026,-0.019163466303270562,8.706253969147884e-07
60.027,-0.035133021555996034,8.32395017889556e-07
60.028,-0.05110257680872151,7.942245991319338e-07
60.029,-0.05749039890981169,7.5522422666894e-07
60.03,-0.05110257680872151,7.158197375784491e-07
60.031,-0.05749039890981169,6.768858992212553e-07
60.032,-0.05110257680872151,6.373819313973645e-07
60.033,-0.03193911050545094,5.977754251021458e-07
60.034,-0.02235737735381566,5.571167415744192e-07
60.035,0.012775644202180378,5.123843056253029e-07
60.036,0.035133021555996034,4.654906114864369e-07
60.037,0.025551288404360755,4.175955430890144e-07
60.038,0.025551288404360755,3.6852649444629856e-07
60.039,0.009581733151635281,3.1874684477109767e-07
60.04,0.019163466303270562,2.6831353805923526e-07
60.041,0.012775644202180378,2.1680468239667956e-07
60.042,0.0,1.6476024498172184e-07
60.043,-0.019163466303270562,1.1351530913717191e-07
60.044,-0.03193911050545094,6.228095802616815e-08
60.045,-0.04471475470763132,1.0586552320360184e-08
60.046,-0.04471475470763132,-4.1450536178840786e-08
60.047,-0.04152084365708622,-9.400157393552184e-08
60.048,-0.047908665758176414,-1.4706342840529205e-07
60.049,-0.04152084365708622,-2.0033213688272685e-07
60.05,-0.012775644202180378,-2.540879388658449e-07
60.051,-0.0031939110505450944,-3.090084956538138e-07
60.052,0.0,-3.6456654263408367e-07
60.053,0.0031939110505450944,-4.207798950160979e-07
60.054,0.006387822101090189,-4.773899528345723e-07
60.055,0.02235737735381566,-5.335597762238684e-07
60.056,0.035133021555996034,-5.898594793201365e-07
60.057,0.038326932606541124,-6.46237997530164e-07
60.058,0.02235737735381566,-7.028815467032893e-07
60.059,-0.009581733151635281,-7.608970010929169e-07
60.06,-0.012775644202180378,-8.195582056879249e-07
60.061,-0.03193911050545094,-8.778179964166803e-07
60.062,-0.05110257680872151,-9.361378206979251e-07
60.063,-0.04471475470763132,-9.953884712040274e-07
60.064,-0.05749039890981169,-1.054471373351875e-06
60.065,-0.05749039890981169,-1.1139150805191216e-06
60.066,-0.04152084365708622,-1.1726706025575356e-06
60.067,-0.025551288404360755,-1.2274398157357678e-06
60.068,-0.009581733151635281,-1.2803013228910117e-06
60.069,0.0031939110505450944,-1.3325178840568685e-06
60.07,0.012775644202180378,-1.3838926613778705e-06
60.071,0.006387822101090189,-1.4349186944385956e-06
60.072,0.02235737735381566,-1.4856599145312564e-06
60.073,0.038326932606541124,-1.535642545349446e-06
60.074,0.01596955525272547,-1.5854605796135015e-06
60.075,-0.006387822101090189,-1.6365909234582386e-06
60.076,-0.019163466303270562,-1.6881461876249885e-06
60.077,-0.025551288404360755,-1.7396184085051437e-06
60.078,-0.04152084365708622,-1.7911133042880188e-06
60.079,-0.047908665758176414,-1.8423813647492325e-06
60.08,-0.05110257680872151,-1.8934624074956204e-06
60.081,-0.05429648785926659,-1.944697098819359e-06
60.082,-0.05429648785926659,-1.9957746857119884e-06
60.083,-0.028745199454905845,-2.0460117657670004e-06
60.084,-0.01596955525272547,-2.095955475669748e-06
60.085,-0.0031939110505450944,-2.1454432427184074e-06
60.086,0.009581733151635281,-2.1948514706809864e-06
60.087,0.009581733151635281,-2.2453186890501827e-06
60.088,0.025551288404360755,-2.295999659076098e-06
60.089,0.038326932606541124,-2.347025896602498e-06
60.09,0.05110257680872151,-2.398028390216762e-06
60.091,0.012775644202180378,-2.447212226120696e-06
60.092,-0.009581733151635281,-2.4957413388214203e-06
60.093,0.0,-2.545063223166415e-06
60.094,-0.035133021555996034,-2.594578683053934e-06
60.095,-0.04471475470763132,-2.6433126098430045e-06
60.096,-0.05749039890981169,-2.6926101188783646e-06
60.097,-0.047908665758176414,-2.741630021047737e-06
60.098,-0.047908665758176414,-2.791847602298917e-06
60.099,-0.038326932606541124,-2.847662421806717e-06
